"scenario","scenario_num","A","B","sim_num","km_est","hybrid_est","km_error","hybrid_error"
"Moderate (30%)",3,0.15,0.15,1,2.40783599513516,5.06877655112538,-0.592164004864836,2.06877655112538
"Moderate (30%)",3,0.15,0.15,2,2.42260792519685,2.89050871444799,-0.577392074803155,-0.109491285552006
"Moderate (30%)",3,0.15,0.15,3,2.35762219408049,2.76494029592466,-0.642377805919512,-0.235059704075335
"Moderate (30%)",3,0.15,0.15,4,2.3888601673605,2.55038706636052,-0.611139832639498,-0.449612933639476
"Moderate (30%)",3,0.15,0.15,5,2.41513828382716,4.93100597674772,-0.584861716172835,1.93100597674772
"Moderate (30%)",3,0.15,0.15,6,2.39986147380713,2.92879965577256,-0.600138526192871,-0.0712003442274418
"Moderate (30%)",3,0.15,0.15,7,2.28735917930773,2.95609541207203,-0.71264082069227,-0.0439045879279663
"Moderate (30%)",3,0.15,0.15,8,2.3958994702602,3.84909646973384,-0.604100529739797,0.849096469733835
"Moderate (30%)",3,0.15,0.15,9,2.28896795393335,7.5186784533257,-0.711032046066651,4.5186784533257
"Moderate (30%)",3,0.15,0.15,10,2.30958475201541,NA,-0.690415247984587,NA
"Moderate (30%)",3,0.15,0.15,11,2.38321411074359,17.0625295974756,-0.616785889256409,14.0625295974756
"Moderate (30%)",3,0.15,0.15,12,2.30708565196362,3.21796902379132,-0.692914348036384,0.217969023791321
"Moderate (30%)",3,0.15,0.15,13,2.36140225838393,2.75384139149593,-0.638597741616075,-0.246158608504071
"Moderate (30%)",3,0.15,0.15,14,2.3534502826037,12.1349176630747,-0.646549717396296,9.13491766307467
"Moderate (30%)",3,0.15,0.15,15,2.36321389944486,2.86085474263417,-0.636786100555142,-0.139145257365835
"Moderate (30%)",3,0.15,0.15,16,2.34756115677291,2.89055708400814,-0.652438843227088,-0.109442915991859
"Moderate (30%)",3,0.15,0.15,17,2.27464246410822,NA,-0.725357535891775,NA
"Moderate (30%)",3,0.15,0.15,18,2.3404677285162,3.36425493647164,-0.659532271483802,0.364254936471643
"Moderate (30%)",3,0.15,0.15,19,2.48979555580889,3.01001571417238,-0.510204444191113,0.010015714172384
"Moderate (30%)",3,0.15,0.15,20,2.29376751986836,9.0937367219647,-0.706232480131642,6.0937367219647
"Moderate (30%)",3,0.15,0.15,21,2.38742305504989,2.60339307245603,-0.612576944950106,-0.396606927543967
"Moderate (30%)",3,0.15,0.15,22,2.30987747324125,3.27118977046459,-0.690122526758755,0.271189770464592
"Moderate (30%)",3,0.15,0.15,23,2.53414039314587,2.92186033188951,-0.465859606854135,-0.0781396681104884
"Moderate (30%)",3,0.15,0.15,24,2.23868140033964,4.2144576770023,-0.761318599660358,1.2144576770023
"Moderate (30%)",3,0.15,0.15,25,2.34430716013768,2.79611237290317,-0.655692839862315,-0.203887627096828
"Moderate (30%)",3,0.15,0.15,26,2.26262655673013,2.64407948761347,-0.737373443269866,-0.355920512386532
"Moderate (30%)",3,0.15,0.15,27,2.31502587993851,3.31970227284566,-0.684974120061489,0.319702272845663
"Moderate (30%)",3,0.15,0.15,28,2.2479065721405,2.60514684453668,-0.752093427859497,-0.394853155463316
"Moderate (30%)",3,0.15,0.15,29,2.31827824344644,2.61539350212932,-0.681721756553556,-0.384606497870681
"Moderate (30%)",3,0.15,0.15,30,2.29227240893939,2.78371632822901,-0.707727591060606,-0.216283671770988
