"scenario","scenario_num","A","B","sim_num","km_est","hybrid_est","km_error","hybrid_error"
"Heavy (50%)",4,0.25,0.25,1,1.77488104873026,2.07939138294352,-1.22511895126974,-0.920608617056484
"Heavy (50%)",4,0.25,0.25,2,1.73369501186978,6.60101380630253,-1.26630498813022,3.60101380630253
"Heavy (50%)",4,0.25,0.25,3,1.87981851078592,2.09848682514384,-1.12018148921408,-0.901513174856157
"Heavy (50%)",4,0.25,0.25,4,1.73710707345946,4.60341063651622,-1.26289292654054,1.60341063651622
"Heavy (50%)",4,0.25,0.25,5,1.74821503998303,2.0231541910424,-1.25178496001697,-0.976845808957603
"Heavy (50%)",4,0.25,0.25,6,1.85618542071358,2.25295507684812,-1.14381457928642,-0.747044923151879
"Heavy (50%)",4,0.25,0.25,7,1.7500431448478,NA,-1.2499568551522,NA
"Heavy (50%)",4,0.25,0.25,8,1.67399160519698,2.07604229672158,-1.32600839480302,-0.923957703278424
"Heavy (50%)",4,0.25,0.25,9,1.83395778579713,NA,-1.16604221420287,NA
"Heavy (50%)",4,0.25,0.25,10,1.82202022457508,NA,-1.17797977542492,NA
"Heavy (50%)",4,0.25,0.25,11,1.78630092072048,2.19256359893183,-1.21369907927952,-0.807436401068172
"Heavy (50%)",4,0.25,0.25,12,1.79598508629073,2.28247467913064,-1.20401491370927,-0.717525320869364
"Heavy (50%)",4,0.25,0.25,13,1.75495160055978,2.21249340725034,-1.24504839944022,-0.787506592749662
"Heavy (50%)",4,0.25,0.25,14,1.77361732754013,2.11495762338608,-1.22638267245987,-0.885042376613916
"Heavy (50%)",4,0.25,0.25,15,1.89243879878692,2.52963992340576,-1.10756120121308,-0.470360076594238
"Heavy (50%)",4,0.25,0.25,16,1.74646268115022,3.881196311334,-1.25353731884978,0.881196311333999
"Heavy (50%)",4,0.25,0.25,17,1.73368563009001,2.65108027806902,-1.26631436990999,-0.348919721930982
"Heavy (50%)",4,0.25,0.25,18,1.82325635367371,2.23415729687589,-1.17674364632629,-0.765842703124109
"Heavy (50%)",4,0.25,0.25,19,1.73062209665451,NA,-1.26937790334549,NA
"Heavy (50%)",4,0.25,0.25,20,1.75858052280348,6.49958469634943,-1.24141947719652,3.49958469634943
"Heavy (50%)",4,0.25,0.25,21,1.77178254066072,1.93946025661152,-1.22821745933928,-1.06053974338848
"Heavy (50%)",4,0.25,0.25,22,1.77453440891403,3.1344384976646,-1.22546559108597,0.134438497664604
"Heavy (50%)",4,0.25,0.25,23,1.72826618944298,1.84093970134294,-1.27173381055702,-1.15906029865706
"Heavy (50%)",4,0.25,0.25,24,1.73850973597194,2.96790793562824,-1.26149026402806,-0.0320920643717599
"Heavy (50%)",4,0.25,0.25,25,1.82626027889521,2.44774612710521,-1.17373972110479,-0.552253872894793
"Heavy (50%)",4,0.25,0.25,26,1.85463824871547,5.22365534618562,-1.14536175128453,2.22365534618562
"Heavy (50%)",4,0.25,0.25,27,1.81844703787194,2.04247631413263,-1.18155296212806,-0.957523685867367
"Heavy (50%)",4,0.25,0.25,28,1.78448034761707,2.620585577501,-1.21551965238293,-0.379414422499
"Heavy (50%)",4,0.25,0.25,29,1.75267710631176,2.03827208452473,-1.24732289368824,-0.961727915475273
"Heavy (50%)",4,0.25,0.25,30,1.76315642929255,NA,-1.23684357070745,NA
"Heavy (50%)",4,0.25,0.25,31,1.83925948028018,3.07763717709729,-1.16074051971982,0.0776371770972935
"Heavy (50%)",4,0.25,0.25,32,1.8000827595245,NA,-1.1999172404755,NA
"Heavy (50%)",4,0.25,0.25,33,1.80468078748209,21.5781226910192,-1.19531921251791,18.5781226910192
"Heavy (50%)",4,0.25,0.25,34,1.66425144426132,1.99053949409218,-1.33574855573868,-1.00946050590782
"Heavy (50%)",4,0.25,0.25,35,1.83020088270779,54.9827836798015,-1.16979911729221,51.9827836798015
"Heavy (50%)",4,0.25,0.25,36,1.80718143560541,NA,-1.19281856439459,NA
"Heavy (50%)",4,0.25,0.25,37,1.69262031740276,2.93918870046617,-1.30737968259724,-0.0608112995338326
"Heavy (50%)",4,0.25,0.25,38,1.83536496589366,4.17364850560059,-1.16463503410634,1.17364850560059
"Heavy (50%)",4,0.25,0.25,39,1.74026083357072,2.07994962722756,-1.25973916642928,-0.920050372772439
"Heavy (50%)",4,0.25,0.25,40,1.86181172990935,NA,-1.13818827009065,NA
"Heavy (50%)",4,0.25,0.25,41,1.79308268693156,NA,-1.20691731306844,NA
"Heavy (50%)",4,0.25,0.25,42,1.85201539871501,2.85368766360005,-1.14798460128499,-0.146312336399946
"Heavy (50%)",4,0.25,0.25,43,1.8108579877669,8.33937063384086,-1.1891420122331,5.33937063384086
"Heavy (50%)",4,0.25,0.25,44,1.83166653568218,1.98101139586222,-1.16833346431782,-1.01898860413778
"Heavy (50%)",4,0.25,0.25,45,1.76554914073393,2.0839508120013,-1.23445085926607,-0.916049187998698
"Heavy (50%)",4,0.25,0.25,46,1.77354923840379,NA,-1.22645076159621,NA
"Heavy (50%)",4,0.25,0.25,47,1.72550841084898,NA,-1.27449158915102,NA
"Heavy (50%)",4,0.25,0.25,48,1.83381947931519,3.29849359579777,-1.16618052068481,0.298493595797765
"Heavy (50%)",4,0.25,0.25,49,1.72040917340732,NA,-1.27959082659268,NA
"Heavy (50%)",4,0.25,0.25,50,1.73792387136321,14.3303206389586,-1.26207612863679,11.3303206389586
"Heavy (50%)",4,0.25,0.25,51,1.786557696539,3.15038600540516,-1.213442303461,0.150386005405157
"Heavy (50%)",4,0.25,0.25,52,1.69445029593319,1.95424693149768,-1.30554970406681,-1.04575306850232
"Heavy (50%)",4,0.25,0.25,53,1.78650188879303,NA,-1.21349811120697,NA
"Heavy (50%)",4,0.25,0.25,54,1.81644702779773,3.45627098162057,-1.18355297220227,0.456270981620568
"Heavy (50%)",4,0.25,0.25,55,1.82260712528535,2.07399818689232,-1.17739287471465,-0.926001813107676
